team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
CA Rosario Central,Rosario Central,2026,Argentina,6,3,3,0,4,2,2,1,1,0,1,0,1,2.17,2.33,2,1,10,10,5,9,1,8,10,5,5,5,4,0,1,5,3,60,54,68,529,0,273,5,3,2,0,0,0,2,1,1,4,2,2,31,18,13,16,6,10,57,58,56,90,59,31,37,22,15,53,37,16,62,33,29,3,2,1,0,0,0,3,2,1,2,1,1,4,2,2,0,0,0,1.67,1.67,1.67,1.67,1.67,1.67,1.5,1.67,1.33,0.17,0,0.33,0.5,0.67,0.33,0.5,0.67,0.33,0,0,0,5,2,2,1,0,0,2,1,1,1,0,0,3,1,1,0,0,0,1,4,4,5,6,6,1,2,2,2,3,3,0,2,2,3,3,3,83,33,33,17,0,0,67,33,33,33,0,0,100,33,33,0,0,0,17,67,67,83,100,100,33,67,67,67,100,100,0,67,67,100,100,100,2,1,0,1,1,0,1,0,0,33,17,0,33,33,0,33,0,0,67,67,67,56,83,100,67,0,0,0,33,33,33,67,67,67,6,3,3,100,100,100,4,2,2,67,67,67,0,0,0,0,0,0,33,33,33,67,67,67,0,0,0,5.17,6.00,4.33,2.67,2,3.33,83,83,83,50,50,17,0,0,1.72,2.15,1.29,1.28,0.97,1.59,0,0,0,1,2,0,2,0,1,3,0,0,0,0,0,0,1,0,0,17,33,0,17,0,33,0
CS Independiente Rivadavia,Independiente Rivadavia,2026,Argentina,6,3,3,0,5,2,3,1,1,0,0,0,0,2.67,2.33,3,1,12,12,2,15,6,9,21,8,13,6,9,2,4,4,5,36,45,30,90,134,68,1,1,0,5,2,3,0,0,0,5,3,2,21,15,6,14,4,10,38,39,36,75,40,35,30,12,18,45,28,17,71,33,38,8,4,4,3,1,2,5,3,2,4,2,2,2,1,1,0,0,0,2.33,2.33,2.33,3.5,2.67,4.33,2.5,2,3,1,0.67,1.33,1.83,1.67,2,1.33,1.33,1.33,0.5,0.33,0.67,6,5,4,3,2,1,3,2,1,1,1,0,3,3,3,2,1,1,0,1,2,3,4,5,0,1,2,2,2,3,0,0,0,1,2,2,100,83,67,50,33,17,100,67,33,33,33,0,100,100,100,67,33,33,0,17,33,50,67,83,0,33,67,67,67,100,0,0,0,33,67,67,5,3,2,2,1,1,3,2,1,83,50,33,67,33,33,100,67,33,83,67,100,7,17,33,0,83,67,100,0,0,0,83,100,67,3,2,1,50,67,33,1,1,0,17,33,0,3,1,2,50,33,67,67,67,67,33,33,33,0,0,0,3.50,5.00,2.00,2.33,1.33,3.33,50,50,33,33,0,0,0,0,1.41,1.41,1.41,1.41,0.89,1.92,67,1,1,1,2,3,2,2,1,2,1,0,1,1,0,1,0,1,1,17,33,0,0,0,0,0
CA Platense,Platense,2026,Argentina,6,3,3,0,3,1,2,1,1,0,2,1,1,1.67,1.33,2,2,13,13,16,8,7,1,15,7,8,3,5,4,3,-1,2,68,90,54,77,68,90,1,0,1,4,2,2,1,1,0,3,1,2,19,12,7,16,6,10,47,55,39,52,32,20,22,12,10,30,20,10,82,34,48,3,1,2,1,1,0,2,0,2,2,0,2,4,3,1,0,0,0,1.67,1,2.33,2.5,2.33,2.67,1.33,1,1.67,1.17,1.33,1,0.67,0.67,0.67,0.5,0.33,0.67,0.17,0.33,0,6,6,3,0,0,0,3,3,1,0,0,0,3,3,2,0,0,0,0,0,3,6,6,6,0,0,2,3,3,3,0,0,1,3,3,3,100,100,50,0,0,0,100,100,33,0,0,0,100,100,67,0,0,0,0,0,50,100,100,100,0,0,67,100,100,100,0,0,33,100,100,100,3,1,0,1,1,0,2,0,0,50,17,0,33,33,0,67,0,0,50,33,67,-20,17,0,33,67,67,67,17,33,0,50,33,67,5,2,3,83,67,100,3,2,1,50,67,33,1,1,0,17,33,0,33,0,67,67,100,33,0,0,0,3.17,4.00,2.33,2.67,2,3.33,50,33,17,0,0,0,0,0,1.13,1.38,0.87,1.12,0.89,1.35,67,0,0,2,1,0,2,2,1,0,0,0,1,0,1,2,1,1,1,17,33,0,33,33,33,0
CD Popular Junior FC SA,Junior,2026,Colombia,6,3,3,0,1,1,0,1,1,0,4,1,3,0.67,1.33,0,4,14,14,33,5,11,-6,16,8,8,4,1,4,7,0,-6,108,68,273,49,68,39,0,0,0,3,2,1,3,1,2,2,2,0,29,16,13,14,7,7,51,53,50,80,41,39,18,12,6,62,29,33,75,43,32,5,4,1,5,2,3,0,2,-2,2,2,0,2,0,2,2,1,1,1.33,2,0.67,2.67,2.67,2.67,0.83,1.33,0.33,1.83,1.33,2.33,1.67,2,1.33,0.83,1.33,0.33,0.83,0.67,1,6,4,2,2,2,0,3,2,1,1,1,0,3,2,1,1,1,0,0,2,4,4,4,6,0,1,2,2,2,3,0,1,2,2,2,3,100,67,33,33,33,0,100,67,33,33,33,0,100,67,33,33,33,0,0,33,67,67,67,100,0,33,67,67,67,100,0,33,67,67,67,100,4,2,2,3,1,1,1,1,1,67,33,33,100,33,33,33,33,33,17,33,0,44,0,0,0,50,67,33,50,33,67,33,67,0,3,1,2,50,33,67,3,1,2,50,33,67,2,1,1,33,33,33,33,67,0,33,0,67,33,33,33,4.83,5.33,4.33,2.33,2.33,2.33,100,67,67,67,50,33,17,0,1.37,1.48,1.25,1.69,1.75,1.63,83,2,0,1,2,0,0,0,0,0,1,1,0,1,2,5,0,0,1,17,33,0,67,33,100,0
Independiente Santa Fe SA,Santa Fe,2026,Colombia,6,3,3,0,2,1,1,2,2,0,2,0,2,1.33,1.67,1,3,15,15,24,6,7,-1,13,7,6,4,2,3,4,1,-2,90,68,134,77,90,68,1,0,1,4,3,1,1,0,1,4,3,1,21,13,8,18,13,5,46,50,41,61,42,19,18,13,5,43,29,14,102,45,57,2,1,1,0,0,0,2,1,1,2,1,1,4,2,2,0,0,0,1.67,1.67,1.67,2.17,2.33,2,1,1.33,0.67,1.17,1,1.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,0,6,5,2,0,0,0,3,3,1,0,0,0,3,2,1,0,0,0,0,1,4,6,6,6,0,0,2,3,3,3,0,1,2,3,3,3,100,83,33,0,0,0,100,100,33,0,0,0,100,67,33,0,0,0,0,17,67,100,100,100,0,0,67,100,100,100,0,33,67,100,100,100,2,0,0,1,0,0,1,0,0,33,0,0,33,0,0,33,0,0,33,33,33,24,17,0,33,67,100,33,17,0,33,67,100,33,6,3,3,100,100,100,4,2,2,67,67,67,0,0,0,0,0,0,33,33,33,67,67,67,0,0,0,3.50,4.33,2.67,3,4.33,1.67,83,83,50,50,33,17,17,0,1.05,1.38,0.71,1.53,1.14,1.91,33,0,2,0,0,1,1,0,1,1,0,0,0,0,0,3,1,2,1,33,67,0,33,0,67,0
CD Universidad Católica,Universidad Católica,2026,Chile,6,3,3,0,4,1,3,1,1,0,1,1,0,2.17,1.33,3,1,19,19,8,8,4,4,12,5,7,3,5,2,2,1,3,68,90,54,134,134,134,3,2,1,3,1,2,1,1,0,4,1,3,29,20,9,11,6,5,46,58,34,74,54,20,28,17,11,46,37,9,78,35,43,4,0,4,1,1,0,3,-1,4,3,0,3,2,2,0,1,1,0,1.83,0.67,3,2,1.67,2.33,1.33,1,1.67,0.67,0.67,0.67,0.83,0.33,1.33,0.67,0,1.33,0.17,0.33,0,5,4,3,0,0,0,2,2,1,0,0,0,3,2,2,0,0,0,1,2,3,6,6,6,1,1,2,3,3,3,0,1,1,3,3,3,83,67,50,0,0,0,67,67,33,0,0,0,100,67,67,0,0,0,17,33,50,100,100,100,33,33,67,100,100,100,0,33,33,100,100,100,4,1,0,1,0,0,3,1,0,67,17,0,33,0,0,100,33,0,67,33,100,0,50,67,33,50,33,67,17,33,0,67,33,100,5,2,3,83,67,100,3,3,0,50,100,0,0,0,0,0,0,0,50,0,100,33,67,0,17,33,0,4.83,6.67,3.00,1.83,2,1.67,83,67,33,33,17,0,0,0,1.45,2.03,0.88,1.31,0.79,1.83,83,0,1,2,1,0,0,0,1,3,0,1,0,0,0,1,1,1,0,17,33,0,17,33,0,0
CD Coquimbo Unido,Coquimbo Unido,2026,Chile,6,3,3,0,3,2,1,1,1,0,2,0,2,1.67,2.33,1,1,21,21,15,8,6,2,14,8,6,6,2,2,4,4,-2,68,45,134,90,134,68,2,1,1,2,2,0,2,0,2,2,1,1,37,23,14,14,6,8,48,51,44,62,40,22,32,22,10,30,18,12,77,35,42,3,2,1,3,2,1,0,0,0,2,1,1,1,0,1,3,2,1,1.17,1,1.33,2.33,2.67,2,1.33,2,0.67,1,0.67,1.33,1,1.33,0.67,0.5,0.67,0.33,0.5,0.67,0.33,6,5,3,0,0,0,3,3,2,0,0,0,3,2,1,0,0,0,0,1,3,6,6,6,0,0,1,3,3,3,0,1,2,3,3,3,100,83,50,0,0,0,100,100,67,0,0,0,100,67,33,0,0,0,0,17,50,100,100,100,0,0,33,100,100,100,0,33,67,100,100,100,5,1,0,3,1,0,2,0,0,83,17,0,100,33,0,67,0,0,50,67,33,42,33,33,33,33,67,0,33,0,67,33,33,33,3,1,2,50,33,67,4,2,2,67,67,67,0,0,0,0,0,0,33,33,33,17,0,33,50,67,33,6.17,7.67,4.67,2.33,2,2.67,83,83,83,67,50,50,17,17,1.38,1.74,1.01,1.08,0.91,1.24,33,0,1,1,0,3,1,0,1,1,1,0,1,1,0,1,1,1,0,17,33,0,33,0,67,17
Club Bolívar,Bolívar,2026,Bolivia,6,3,3,0,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,3,24,24,31,6,8,-2,14,8,6,4,2,4,4,0,-2,90,68,134,68,68,68,1,1,0,4,2,2,1,0,1,1,1,0,34,25,9,12,5,7,55,62,47,80,55,25,28,19,9,52,36,16,56,32,24,2,1,1,5,2,3,-3,-1,-2,1,1,0,1,0,1,4,2,2,0.67,1,0.33,2.33,2.67,2,1,1.33,0.67,1.33,1.33,1.33,1.17,1,1.33,0.33,0.33,0.33,0.83,0.67,1,6,5,2,1,0,0,3,3,1,1,0,0,3,2,1,0,0,0,0,1,4,5,6,6,0,0,2,2,3,3,0,1,2,3,3,3,100,83,33,17,0,0,100,100,33,33,0,0,100,67,33,0,0,0,0,17,67,83,100,100,0,0,67,67,100,100,0,33,67,100,100,100,6,1,0,3,0,0,3,1,0,100,17,0,100,0,0,100,33,0,17,33,0,0,17,33,0,67,67,67,17,0,33,17,33,0,1,1,0,17,33,0,4,2,2,67,67,67,1,0,1,17,0,33,17,33,0,17,0,33,67,67,67,5.67,8.33,3.00,2,1.67,2.33,50,50,50,50,33,33,33,17,1.44,2.03,0.86,1.38,0.91,1.85,50,1,0,1,0,0,1,1,1,1,2,0,1,1,1,0,0,1,2,33,33,33,50,33,67,17
Club Always Ready,Club Always Ready,2026,Bolivia,6,3,3,0,1,1,0,0,0,0,5,2,3,0.5,1,0,4,25,25,39,7,9,-2,16,8,8,5,2,3,6,2,-4,77,54,134,60,90,45,1,1,0,2,1,1,3,1,2,1,1,0,31,13,18,17,9,8,52,59,45,98,58,40,33,17,16,65,41,24,70,47,23,4,2,2,3,1,2,1,1,0,2,1,1,2,1,1,2,1,1,1.33,1.33,1.33,2.67,2.67,2.67,1.17,1.67,0.67,1.5,1,2,1.17,1,1.33,0.67,0.67,0.67,0.5,0.33,0.67,6,4,3,2,1,0,3,2,2,1,0,0,3,2,1,1,1,0,0,2,3,4,5,6,0,1,1,2,3,3,0,1,2,2,2,3,100,67,50,33,17,0,100,67,67,33,0,0,100,67,33,33,33,0,0,33,50,67,83,100,0,33,33,67,100,100,0,33,67,67,67,100,4,2,1,2,1,0,2,1,1,67,33,17,67,33,0,67,33,33,17,33,0,38,17,33,0,33,33,33,50,33,67,17,33,0,3,2,1,50,67,33,4,2,2,67,67,67,1,0,1,17,0,33,33,33,33,33,33,33,33,33,33,5.17,4.33,6.00,2.83,3,2.67,83,67,67,67,67,67,33,17,1.64,1.82,1.45,1.57,1.06,2.07,50,0,1,1,1,2,0,0,1,1,2,1,0,0,0,0,1,2,3,0,0,0,83,67,100,17
Mirassol Futebol Clube,Mirassol,2026,Brazil,6,3,3,0,4,3,1,0,0,0,2,0,2,2,3,1,1,26,26,9,7,4,3,11,5,6,5,2,0,4,5,-2,77,54,134,134,0,68,3,3,0,1,0,1,2,0,2,4,3,1,25,19,6,17,9,8,51,48,54,62,42,20,22,15,7,40,27,13,59,36,23,2,1,1,3,0,3,-1,1,-2,2,1,1,2,2,0,2,0,2,1.33,1.67,1,1.83,1.67,2,1.17,1.67,0.67,0.67,0,1.33,0.83,0.33,1.33,0.33,0.33,0.33,0.5,0,1,6,4,1,0,0,0,3,2,0,0,0,0,3,2,1,0,0,0,0,2,5,6,6,6,0,1,3,3,3,3,0,1,2,3,3,3,100,67,17,0,0,0,100,67,0,0,0,0,100,67,33,0,0,0,0,33,83,100,100,100,0,33,100,100,100,100,0,33,67,100,100,100,4,1,0,1,0,0,3,1,0,67,17,0,33,0,0,100,33,0,67,100,33,72,50,100,0,17,0,33,33,0,67,67,100,33,4,3,1,67,100,33,4,2,2,67,67,67,0,0,0,0,0,0,33,33,33,33,67,0,33,0,67,4.17,6.33,2.00,2.83,3,2.67,67,50,50,50,50,33,33,0,1.20,1.61,0.79,1.29,0.96,1.62,17,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,33,0,67,0
Club Universitario de Deportes,Universitario,2026,Peru,6,3,3,0,1,1,0,3,1,2,2,1,1,1,1.33,0.67,4,27,27,30,5,6,-1,11,8,3,4,1,4,2,0,-1,108,68,273,90,68,134,3,1,2,2,1,1,4,2,2,1,0,1,36,23,13,10,6,4,51,58,44,64,34,30,23,15,8,41,19,22,62,36,26,2,1,1,2,2,0,0,-1,1,1,0,1,4,2,2,1,1,0,1.17,0.67,1.67,1.83,2.67,1,0.83,1.33,0.33,1,1.33,0.67,0.67,1,0.33,0.33,0.33,0.33,0.33,0.67,0,3,3,2,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,3,3,4,5,5,5,1,1,2,2,2,2,2,2,2,3,3,3,50,50,33,17,17,17,67,67,33,33,33,33,33,33,33,0,0,0,50,50,67,83,83,83,33,33,67,67,67,67,67,67,67,100,100,100,3,1,0,2,1,0,1,0,0,50,17,0,67,33,0,33,0,0,17,33,0,14,50,33,67,33,33,33,67,67,67,17,0,33,4,1,3,67,33,100,4,2,2,67,67,67,1,1,0,17,33,0,17,0,33,67,67,67,17,33,0,6.00,7.67,4.33,1.67,2,1.33,100,100,100,83,67,67,0,0,1.34,1.57,1.11,1.19,1.01,1.38,50,0,0,0,2,1,0,0,0,2,0,2,0,0,2,0,0,2,0,50,33,67,33,33,33,0
Asociación Civil Real Atlético Garcilaso,Real Garcilaso,2026,Peru,6,3,3,0,0,0,0,1,1,0,5,2,3,0.17,0.33,0,4,29,29,45,4,12,-8,16,9,7,3,1,6,6,-3,-5,134,90,273,45,45,45,0,0,0,3,2,1,3,1,2,1,1,0,20,17,3,14,4,10,48,58,38,53,34,19,22,16,6,31,18,13,50,29,21,2,1,1,2,1,1,0,0,0,1,1,0,4,1,3,1,1,0,1.17,1.33,1,2.67,3,2.33,0.67,1,0.33,2,2,2,0.67,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.33,6,5,3,1,1,0,3,3,1,1,1,0,3,2,2,0,0,0,0,1,3,5,5,6,0,0,2,2,2,3,0,1,1,3,3,3,100,83,50,17,17,0,100,100,33,33,33,0,100,67,67,0,0,0,0,17,50,83,83,100,0,0,67,67,67,100,0,33,33,100,100,100,3,1,0,2,0,0,1,1,0,50,17,0,67,0,0,33,33,0,0,0,0,0,0,0,0,50,67,33,50,33,67,17,33,0,4,2,2,67,67,67,4,2,2,67,67,67,1,0,1,17,0,33,17,33,0,67,33,100,17,33,0,3.33,5.67,1.00,2.33,1.33,3.33,67,50,50,50,50,33,0,0,1.03,1.37,0.69,1.93,1.42,2.43,50,0,0,0,2,0,0,0,1,1,0,1,1,0,1,2,0,1,6,17,33,0,83,67,100,0
Deportivo La Guaira,Deportivo La Guaira,2026,Venezuela,6,3,3,0,0,0,0,3,2,1,3,1,2,0.5,0.67,0.33,4,31,31,41,6,13,-7,19,8,11,3,3,5,8,-2,-5,90,90,90,41,54,34,1,1,0,5,2,3,1,1,0,2,1,1,21,16,5,13,11,2,43,46,40,52,33,19,19,12,7,33,21,12,69,35,34,5,2,3,7,2,5,-2,0,-2,2,1,1,1,1,0,3,1,2,1.17,1.33,1,3.17,2.67,3.67,1,1,1,2.17,1.67,2.67,2,1.33,2.67,0.83,0.67,1,1.17,0.67,1.67,5,5,3,3,2,1,2,2,1,1,1,1,3,3,2,2,1,0,1,1,3,3,4,5,1,1,2,2,2,2,0,0,1,1,2,3,83,83,50,50,33,17,67,67,33,33,33,33,100,100,67,67,33,0,17,17,50,50,67,83,33,33,67,67,67,67,0,0,33,33,67,100,5,3,3,2,1,1,3,2,2,83,50,50,67,33,33,100,67,67,0,0,0,12,17,33,0,83,67,100,17,33,0,33,33,33,3,2,1,50,67,33,1,1,0,17,33,0,3,1,2,50,33,67,33,33,33,17,33,0,50,33,67,3.50,5.33,1.67,2.17,3.67,0.67,67,67,67,67,50,33,33,17,0.96,1.18,0.73,1.69,1.68,1.71,83,0,1,2,2,0,0,0,1,0,1,1,2,1,2,1,2,2,1,50,67,33,50,33,67,17
Universidad Central de Venezuela FC,UCV,2026,Venezuela,6,3,3,0,3,2,1,0,0,0,3,1,2,1.5,2,1,3,34,34,21,7,11,-4,18,9,9,5,2,4,7,1,-5,77,54,134,49,68,39,2,1,1,2,1,1,2,1,1,4,2,2,9,5,4,17,8,9,38,38,38,64,35,29,21,13,8,43,22,21,47,20,27,2,1,1,5,1,4,-3,0,-3,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,3,3,3,1.17,1.67,0.67,1.83,1.33,2.33,1.17,0.67,1.67,0.33,0.33,0.33,0.83,0.33,1.33,6,5,4,3,0,0,3,3,2,1,0,0,3,2,2,2,0,0,0,1,2,3,6,6,0,0,1,2,3,3,0,1,1,1,3,3,100,83,67,50,0,0,100,100,67,33,0,0,100,67,67,67,0,0,0,17,33,50,100,100,0,0,33,67,100,100,0,33,33,33,100,100,4,2,1,2,0,0,2,2,1,67,33,17,67,0,0,67,67,33,50,67,33,35,33,33,33,33,33,33,33,33,33,67,67,67,3,2,1,50,67,33,4,2,2,67,67,67,1,0,1,17,0,33,17,33,0,33,33,33,50,33,67,1.50,1.67,1.33,2.83,2.67,3.00,67,67,50,33,33,17,0,0,1.09,1.23,0.95,2.09,1.90,2.28,50,0,0,2,0,0,1,2,0,2,0,0,1,2,2,1,2,1,2,0,0,0,50,33,67,0
Liga Deportiva Universitaria de Quito,LDU Quito,2026,Ecuador,6,3,3,0,4,3,1,0,0,0,2,0,2,2,3,1,2,35,35,10,8,5,3,13,9,4,7,1,2,3,5,-2,68,39,273,108,134,90,3,2,1,1,1,0,2,0,2,4,3,1,21,13,8,16,6,10,47,51,44,85,56,29,20,15,5,65,41,24,71,34,37,3,3,0,2,2,0,1,1,0,1,1,0,4,1,3,1,1,0,1.17,1.33,1,2.17,3,1.33,1.33,2.33,0.33,0.83,0.67,1,0.83,1.67,0,0.5,1,0,0.33,0.67,0,6,4,1,1,1,0,3,3,1,1,1,0,3,1,0,0,0,0,0,2,5,5,5,6,0,0,2,2,2,3,0,2,3,3,3,3,100,67,17,17,17,0,100,100,33,33,33,0,100,33,0,0,0,0,0,33,83,83,83,100,0,0,67,67,67,100,0,67,100,100,100,100,2,2,1,2,2,1,0,0,0,33,33,17,67,67,33,0,0,0,67,100,33,47,50,67,33,17,33,0,33,0,67,67,100,33,5,2,3,83,67,100,4,1,3,67,33,100,1,1,0,17,33,0,17,33,0,67,33,100,17,33,0,3.50,4.33,2.67,2.67,2,3.33,67,50,50,50,33,33,17,17,1.38,1.82,0.94,1.48,1.19,1.78,17,2,0,0,1,0,0,0,2,3,0,1,0,1,1,0,1,1,0,0,0,0,33,0,67,17
CSD Independiente del Valle,CSD Independiente del Valle,2026,Ecuador,6,3,3,0,4,3,1,1,0,1,1,0,1,2.17,3,1.33,2,36,36,6,11,6,5,17,10,7,8,3,2,4,6,-1,49,34,90,90,134,68,2,1,1,3,2,1,2,0,2,3,2,1,46,27,19,11,3,8,59,62,55,131,79,52,44,29,15,87,50,37,40,17,23,5,4,1,3,2,1,2,2,0,2,2,0,4,1,3,0,0,0,1.67,2.33,1,2.83,3.33,2.33,1.83,2.67,1,1,0.67,1.33,1.33,2,0.67,0.83,1.33,0.33,0.5,0.67,0.33,5,4,3,3,2,0,3,2,2,2,1,0,2,2,1,1,1,0,1,2,3,3,4,6,0,1,1,1,2,3,1,1,2,2,2,3,83,67,50,50,33,0,100,67,67,67,33,0,67,67,33,33,33,0,17,33,50,50,67,100,0,33,33,33,67,100,33,33,67,67,67,100,3,3,2,2,2,2,1,1,0,50,50,33,67,67,67,33,33,0,67,100,33,40,33,33,33,50,67,33,33,0,67,50,67,33,3,1,2,50,33,67,3,1,2,50,33,67,3,2,1,50,67,33,33,67,0,67,33,100,0,0,0,7.67,9.00,6.33,1.83,1,2.67,83,83,83,83,83,50,0,0,2.29,2.76,1.81,1.29,0.93,1.66,67,0,0,0,2,3,1,4,0,1,0,0,1,1,1,1,1,0,1,17,0,33,17,0,33,0
